Name,Description,Latitude,Longitude,投票区,住所1,住所2,緯度,経度
14.0,投票区: 第二投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴４３３－１<br>緯度: 35.156261<br><br>経度: 139.135879,35.156261,139.135879,第二投票区,神奈川県足柄下郡真鶴町,真鶴４３３－１,"35.156261
",139.135879
15.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴３４５－１<br>緯度: 35.1572182<br>経度: 139.1353025,35.1572182,139.1353025,第三投票区,神奈川県足柄下郡真鶴町,真鶴３４５－１,35.1572182,139.1353025
17.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩２４８－１<br>緯度: 35.1577522<br>経度: 139.1375595,35.1577522,139.1375595,第三投票区,神奈川県足柄下郡真鶴町,岩２４８－１,35.1577522,139.1375595
18.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴２９８－１<br>緯度: 35.1574759<br>経度: 139.1386321,35.1574759,139.1386321,第三投票区,神奈川県足柄下郡真鶴町,真鶴２９８－１,35.1574759,139.1386321
19.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩１８１－２<br>緯度: 35.1588687<br>経度: 139.1379615,35.1588687,139.1379615,第三投票区,神奈川県足柄下郡真鶴町,岩１８１－２,35.1588687,139.1379615
20.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩１２８－１<br>緯度: 35.158294<br>経度: 139.1396109,35.158294,139.1396109,第三投票区,神奈川県足柄下郡真鶴町,岩１２８－１,35.158294,139.1396109
21.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩１１１－１<br>緯度: 35.1594681<br>経度: 139.1409897,35.1594681,139.1409897,第三投票区,神奈川県足柄下郡真鶴町,岩１１１－１,35.1594681,139.1409897
22.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩４５５－１７<br>緯度: 35.1608638<br>経度: 139.1402273,35.1608638,139.1402273,第四投票区,神奈川県足柄下郡真鶴町,岩４５５－１７,35.1608638,139.1402273
23.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩５０３<br>緯度: 35.161412<br>経度: 139.1384071,35.161412,139.1384071,第四投票区,神奈川県足柄下郡真鶴町,岩５０３,35.161412,139.1384071
24.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩５８２<br>緯度: 35.16230864897205<br>経度: 139.13827284893966,35.1623086489721,139.13827284894,第四投票区,神奈川県足柄下郡真鶴町,岩５８２,35.16230864897205,139.13827284893966
25.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩７１２ー２<br>緯度: 35.1638797<br>経度: 139.1386627,35.1638797,139.1386627,第四投票区,神奈川県足柄下郡真鶴町,岩７１２ー２,35.1638797,139.1386627
26.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩９２４－２<br>緯度: 35.167090648809236<br>経度: 139.13989222868722,35.1670906488092,139.139892228687,第四投票区,神奈川県足柄下郡真鶴町,岩９２４－２,35.167090648809236,139.13989222868722
27.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩８６４<br>緯度: 35.1680515<br>経度: 139.1381587,35.1680515,139.1381587,第四投票区,神奈川県足柄下郡真鶴町,岩８６４,35.1680515,139.1381587
28.0,投票区: 第四投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩８５３－２<br>緯度: 35.1725638<br>経度: 139.1317465,35.1725638,139.1317465,第四投票区,神奈川県足柄下郡真鶴町,岩８５３－２,35.1725638,139.1317465
29.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩６８３－３<br>緯度: 35.165945<br>経度: 139.1351975,35.165945,139.1351975,第五投票区,神奈川県足柄下郡真鶴町,岩６８３－３,35.165945,139.1351975
30.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩３７６－３<br>緯度: 35.1616752<br>経度: 139.1352833,35.1616752,139.1352833,第五投票区,神奈川県足柄下郡真鶴町,岩３７６－３,35.1616752,139.1352833
31.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１８９３－６<br>緯度: 35.1589007<br>経度: 139.1330397,35.1589007,139.1330397,第五投票区,神奈川県足柄下郡真鶴町,真鶴１８９３－６,35.1589007,139.1330397
32.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 岩３２７－１<br>緯度: 35.1604634<br>経度: 139.1318079,35.1604634,139.1318079,第五投票区,神奈川県足柄下郡真鶴町,岩３２７－１,35.1604634,139.1318079
33.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１８５３－３<br>緯度: 35.1567588<br>経度: 139.1316828,35.1567588,139.1316828,第五投票区,神奈川県足柄下郡真鶴町,真鶴１８５３－３,35.1567588,139.1316828
34.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１９４６－６２<br>緯度: 35.1591901<br>経度: 139.1295166,35.1591901,139.1295166,第五投票区,神奈川県足柄下郡真鶴町,真鶴１９４６－６２,35.1591901,139.1295166
35.0,投票区: 第五投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴１８７２－１<br>緯度: 35.15791573526686<br>経度: 139.1327702004082,35.1579157352669,139.132770200408,第五投票区,神奈川県足柄下郡真鶴町,真鶴１８７２－１,35.15791573526686,139.1327702004082
6.0,投票区: 第一投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴５０－１<br>緯度: 35.154856<br><br>経度: 139.142843,35.154856,139.142843,第一投票区,神奈川県足柄下郡真鶴町,真鶴５０－１,"35.154856
",139.142843
16.0,投票区: 第三投票区<br>住所1: 神奈川県足柄下郡真鶴町<br>住所2: 真鶴３３５－２<br>緯度: 35.157713<br><br>経度: 139.134899,35.157713,139.134899,第三投票区,神奈川県足柄下郡真鶴町,真鶴３３５－２,"35.157713
",139.134899
